Nseries	Time	Timestd	Acc	Accstd	F1	F1std	F1LO	F1LOstd
69	32.057858276367185	3.352568820467118	66.0	0.0	0.43103448275862066	0.0	0.43770465847842993	0.03905342394518679
70	35.97170124053955	5.988282036138814	62.0	0.0	0.4561403508771929	5.551115123125783e-17	0.4454725798304698	0.01757757649270909
71	36.98385779857635	3.4351157378338435	62.0	0.0	0.4561403508771929	5.551115123125783e-17	0.42795932933687614	0.04032998849261088
72	32.20686423778534	3.5983934108833706	61.0	0.0	0.4695652173913044	5.551115123125783e-17	0.45582344731022867	0.012420836984561427
73	31.18355703353882	1.3202994624419087	61.0	0.0	0.46017699115044247	0.0	0.44350414537562877	0.03879277981753395
74	29.042049288749695	1.324509421228986	61.0	0.0	0.4695652173913044	5.551115123125783e-17	0.436345203801045	0.02990028079910608
75	37.239510083198546	2.2427975298182865	59.0	0.0	0.4587155963302753	5.551115123125783e-17	0.44072050912017957	0.0371642645023907
76	36.2111177444458	1.4733528393195146	61.0	0.0	0.46017699115044247	0.0	0.4498354664996991	0.029661533176688504
77	38.24049050807953	1.3205419691708016	58.0	0.0	0.46296296296296297	0.0	0.4114531929141677	0.03353680895185129
78	40.37921462059021	2.101838520371609	59.0	0.0	0.4684684684684684	5.551115123125783e-17	0.4542052689374404	0.010370839895356771
79	32.555375528335574	2.130221010601506	63.0	0.0	0.46153846153846156	0.0	0.435721079483132	0.04347066608478519
80	36.088553881645204	2.35162556528416	65.0	0.0	0.4444444444444445	5.551115123125783e-17	0.45125153236981286	0.032648816401944294
81	33.72425978183746	3.4306525862954196	74.0	0.0	0.421875	0.0	0.42579562515843355	0.03668878234289822
82	40.31191070079804	2.7553440507957605	59.0	0.0	0.4684684684684684	5.551115123125783e-17	0.44686173758805936	0.03293783281023964
83	39.286475253105166	2.1438206153241124	62.0	0.0	0.44642857142857145	0.0	0.44200178486531005	0.038900025016271864
84	32.40168583393097	1.8244390135392974	65.0	0.0	0.4444444444444445	5.551115123125783e-17	0.46156700279821256	0.02859152786342078
85	42.15591933727264	3.5256450657160396	63.0	0.0	0.4521739130434782	5.551115123125783e-17	0.4348374598415986	0.039418193057694416
86	44.97759726047516	1.8172829141464208	63.0	0.0	0.44247787610619477	5.551115123125783e-17	0.43509774703724985	0.040364260035603276
87	44.399395966529845	1.6205113019781507	59.0	0.0	0.4684684684684684	5.551115123125783e-17	0.4566073931897566	0.03249307060427556
88	35.593624114990234	1.6824286999832283	83.0	0.0	0.4028776978417266	0.0	0.4423221668376465	0.028237994330458968
89	54.233147859573364	6.159235903470242	63.0	0.0	0.44247787610619477	5.551115123125783e-17	0.43017663191545913	0.032918599817095336
90	46.17012567520142	6.083988433070149	61.0	0.0	0.4695652173913044	5.551115123125783e-17	0.42526348326024843	0.03491145449899236
91	38.22134203910828	2.1433922806890875	64.0	0.0	0.45762711864406774	5.551115123125783e-17	0.43184986432591776	0.035819144985391134
92	52.43373107910156	1.785601840436145	58.0	0.0	0.4821428571428571	5.551115123125783e-17	0.4358848627551367	0.037765771902144314
93	25.005776500701906	1.6055745171382307	92.0	0.0	0.39473684210526316	0.0	0.44281531896843324	0.03335447337856691
94	42.74309105873108	1.6197717871051485	63.0	0.0	0.46153846153846156	0.0	0.42944497970998546	0.03726114757092072
95	40.19606909751892	1.7078509578683776	78.0	0.0	0.4	0.0	0.44286892431462854	0.029000088012429714
96	43.35722589492798	2.037029266250328	65.0	0.0	0.453781512605042	0.0	0.45962845594927326	0.011945077449595033
97	58.90759813785553	4.838745812542588	62.0	0.0	0.46551724137931033	0.0	0.44761020275103647	0.02435950794854318
98	59.709401965141296	3.0715543716240385	63.0	0.0	0.44247787610619477	5.551115123125783e-17	0.43904386136019397	0.037794432416181675
99	62.73685266971588	3.810364149211537	64.0	0.0	0.42857142857142855	0.0	0.4397829464815012	0.026559887656790838
100	49.67332310676575	1.0734828996278725	61.0	0.0	0.4695652173913044	5.551115123125783e-17	0.45954244886450696	0.013415217489417049
